Open,High,Low,Close,Volume,Label
5800.0,5910.0,5710.0,5730.0,83035000.0,1.0
5730.0,5910.0,5550.0,5900.0,46615000.0,1.0
5960.0,6270.0,5870.0,6220.0,53120000.0,-1.0
6100.0,6170.0,5930.0,6070.0,37190000.0,-1.0
6180.0,6180.0,5970.0,6030.0,27815000.0,-1.0
5930.0,6010.0,5850.0,5920.0,23605000.0,-1.0
5740.0,5770.0,5580.0,5580.0,28765000.0,-1.0
5660.0,5750.0,5570.0,5580.0,33475000.0,1.0
5680.0,6040.0,5680.0,6000.0,39570000.0,1.0
6000.0,6160.0,5860.0,6160.0,40830000.0,-1.0
6000.0,6070.0,5880.0,5960.0,33840000.0,1.0
6060.0,6160.0,6000.0,6020.0,23730000.0,-1.0
6020.0,6020.0,6020.0,6020.0,0.0,1.0
6500.0,6530.0,6330.0,6420.0,51915000.0,1.0
6480.0,6560.0,6340.0,6440.0,36345000.0,-1.0
6500.0,6520.0,6200.0,6200.0,21370000.0,1.0
6200.0,6340.0,6190.0,6270.0,20950000.0,1.0
6260.0,6470.0,6240.0,6460.0,27710000.0,-1.0
6450.0,6450.0,6160.0,6190.0,27905000.0,1.0
6260.0,6300.0,6100.0,6220.0,31700000.0,1.0
6180.0,6400.0,6110.0,6400.0,21960000.0,-1.0
6340.0,6380.0,6260.0,6330.0,17630000.0,-1.0
6320.0,6380.0,6160.0,6220.0,16765000.0,-1.0
6140.0,6190.0,6020.0,6030.0,23735000.0,-1.0
5900.0,5900.0,5380.0,5470.0,114120000.0,1.0
5540.0,5600.0,5420.0,5540.0,49955000.0,-1.0
5440.0,5550.0,5310.0,5340.0,28625000.0,-1.0
5260.0,5340.0,5030.0,5150.0,79765000.0,-1.0
5200.0,5280.0,5090.0,5150.0,53120000.0,-1.0
4940.0,4980.0,4760.0,4790.0,83905000.0,1.0
4900.0,4930.0,4790.0,4880.0,57170000.0,-1.0
4880.0,4880.0,4880.0,4880.0,0.0,-1.0
4880.0,4880.0,4880.0,4880.0,0.0,-1.0
4880.0,4880.0,4880.0,4880.0,0.0,-1.0
4600.0,4710.0,4440.0,4710.0,106130000.0,-1.0
4500.0,4620.0,4300.0,4350.0,82695000.0,-1.0
4010.0,4120.0,3700.0,3970.0,146305000.0,1.0
3990.0,4370.0,3900.0,4160.0,100525000.0,1.0
4600.0,4660.0,4460.0,4600.0,103410000.0,-1.0
4590.0,4660.0,4320.0,4400.0,65445000.0,-1.0
3840.0,4050.0,3780.0,3800.0,103265000.0,1.0
3880.0,4110.0,3840.0,4090.0,65985000.0,-1.0
3900.0,4040.0,3900.0,4000.0,58430000.0,1.0
4000.0,4100.0,3960.0,4030.0,69795000.0,1.0
4100.0,4190.0,4030.0,4060.0,52470000.0,-1.0
4120.0,4120.0,3940.0,4040.0,57535000.0,-1.0
3840.0,3880.0,3760.0,3810.0,41120000.0,-1.0
3810.0,3810.0,3810.0,3810.0,0.0,1.0
3700.0,3950.0,3590.0,3890.0,82635000.0,1.0
4020.0,4080.0,3940.0,3940.0,62745000.0,-1.0
3800.0,3900.0,3760.0,3900.0,54935000.0,-1.0
3820.0,3840.0,3680.0,3690.0,63195000.0,-1.0
3700.0,3810.0,3590.0,3660.0,62145000.0,-1.0
3450.0,3460.0,3210.0,3220.0,103605000.0,-1.0
3140.0,3280.0,3140.0,3140.0,79535000.0,-1.0
3000.0,3090.0,2830.0,3030.0,115295000.0,-1.0
3030.0,3030.0,3030.0,3030.0,0.0,-1.0
2980.0,3080.0,2730.0,2740.0,65300000.0,-1.0
2540.0,2760.0,2420.0,2730.0,164215000.0,1.0
2730.0,3050.0,2690.0,2900.0,137720000.0,1.0
3240.0,3330.0,3190.0,3330.0,118825000.0,-1.0
3490.0,3520.0,3160.0,3200.0,139960000.0,1.0
3180.0,3420.0,3100.0,3340.0,97115000.0,-1.0
3200.0,3260.0,3130.0,3210.0,68730000.0,-1.0
2930.0,3030.0,2740.0,2890.0,133290000.0,-1.0
2890.0,2890.0,2890.0,2890.0,0.0,-1.0
2800.0,2880.0,2720.0,2750.0,36830000.0,1.0
2750.0,2850.0,2630.0,2850.0,63190000.0,1.0
3000.0,3270.0,2960.0,3260.0,94165000.0,1.0
3200.0,3430.0,3170.0,3320.0,123180000.0,1.0
3420.0,3470.0,3370.0,3440.0,80420000.0,1.0
3460.0,3670.0,3380.0,3510.0,71865000.0,-1.0
3460.0,3550.0,3380.0,3440.0,53740000.0,-1.0
3400.0,3460.0,3280.0,3410.0,58215000.0,-1.0
