Date,Open,High,Low,Close,Adj Close,Volume
2021-06-29,167500.0,173000.0,164000.0,173000.0,173000.0,527489
2021-06-30,173500.0,184000.0,173000.0,183000.0,183000.0,1167597
2021-07-01,182000.0,194500.0,179000.0,186500.0,186500.0,1504043
2021-07-02,189000.0,193000.0,183500.0,186000.0,186000.0,648311
2021-07-05,185000.0,188000.0,181500.0,185500.0,185500.0,439884
2021-07-06,185000.0,194000.0,185000.0,193000.0,193000.0,666659
2021-07-07,192500.0,199000.0,191500.0,199000.0,199000.0,678190
2021-07-08,200000.0,209500.0,199500.0,205000.0,205000.0,1524306
2021-07-09,205500.0,212000.0,195000.0,209000.0,209000.0,1257721
2021-07-12,212000.0,214000.0,207000.0,210000.0,210000.0,423982
2021-07-13,209000.0,213000.0,208500.0,211500.0,211500.0,458895
2021-07-14,210000.0,212000.0,204500.0,209000.0,209000.0,530707
2021-07-15,207000.0,207500.0,202000.0,204500.0,204500.0,563996
2021-07-16,203500.0,213000.0,198500.0,213000.0,213000.0,769590
2021-07-19,213500.0,219000.0,210000.0,211000.0,211000.0,450712
2021-07-20,206000.0,218000.0,205500.0,214000.0,214000.0,671590
2021-07-21,216000.0,219000.0,210000.0,216000.0,216000.0,380307
2021-07-22,218500.0,233500.0,216500.0,230500.0,230500.0,976124
2021-07-23,231500.0,237000.0,227500.0,235500.0,235500.0,480565
2021-07-26,237500.0,249000.0,224500.0,229500.0,229500.0,1014129
2021-07-27,232000.0,237500.0,220500.0,228500.0,228500.0,831742
2021-07-28,224500.0,231500.0,224500.0,229500.0,229500.0,396664
2021-07-29,229000.0,232000.0,223500.0,225000.0,225000.0,327732
2021-07-30,225500.0,228500.0,220500.0,225500.0,225500.0,366042
2021-08-02,226500.0,229000.0,220000.0,228500.0,228500.0,411837
2021-08-03,228500.0,237000.0,209000.0,211000.0,211000.0,893344
2021-08-04,208000.0,220000.0,198500.0,217000.0,217000.0,851565
2021-08-05,214500.0,221000.0,214000.0,216500.0,216500.0,263773
2021-08-06,216000.0,218500.0,210000.0,212500.0,212500.0,294166
2021-08-09,212000.0,215000.0,207000.0,209500.0,209500.0,382155
2021-08-10,210000.0,214000.0,205000.0,210500.0,210500.0,453145
2021-08-11,199500.0,206500.0,199500.0,202500.0,202500.0,1220623
2021-08-12,210000.0,230000.0,209500.0,217500.0,217500.0,2100897
2021-08-13,218000.0,221500.0,211500.0,214500.0,214500.0,548773
2021-08-17,212000.0,214000.0,205500.0,208500.0,208500.0,458414
2021-08-18,206500.0,218000.0,206000.0,214500.0,214500.0,448588
2021-08-19,214500.0,217500.0,211000.0,214000.0,214000.0,422954
2021-08-20,214000.0,216500.0,200000.0,205000.0,205000.0,655215
2021-08-23,207500.0,209000.0,201000.0,206000.0,206000.0,337429
2021-08-24,208000.0,212500.0,200500.0,204000.0,204000.0,410938
2021-08-25,206000.0,209000.0,203000.0,208000.0,208000.0,234014
2021-08-26,207500.0,213500.0,207000.0,213500.0,213500.0,400100
